p_venue_name,p_year,p_week_number,monday_income_predicted,tuesday_income_predicted,wednesday_income_predicted,thursday_income_predicted,friday_income_predicted,saturday_income_predicted,sunday_income_predicted
BILBAO,2025,1,325.93,315.21,657.83,479.28,1207.19,1691.02,1061.43
BILBAO,2025,2,337.86,370.33,601.54,469.11,1083.26,1537.21,1009.62
BILBAO,2025,3,336.17,344.34,534.76,568.16,1201.7,1912.46,848.54
BILBAO,2025,4,328.03,347.59,626.81,436.3,1271.7,1801.72,837.37
BILBAO,2025,5,349.79,327.86,619.86,487.46,1067.81,1631.69,852.99
BILBAO,2025,6,291.14,350.31,680.26,563.13,1105.5,1588.78,931.21
BILBAO,2025,7,391.08,364.85,639.49,503.7,1229.26,1996.71,953.88
BILBAO,2025,8,381.61,376.55,620.29,496.27,1095.08,1587.69,908.01
BILBAO,2025,9,298.74,303.16,615.07,575.0,1169.82,1806.35,1008.47
BILBAO,2025,10,354.32,368.75,679.45,561.49,1149.55,1949.06,897.43
BILBAO,2025,11,390.26,296.81,661.54,468.44,1366.17,1726.76,907.82
BILBAO,2025,12,322.19,328.44,538.55,442.12,1244.55,1899.76,1045.27
BILBAO,2025,13,297.52,350.1,664.24,453.34,1133.42,1671.92,999.42
BILBAO,2025,14,300.14,352.47,601.25,489.46,1179.47,1782.6,838.27
BILBAO,2025,15,381.49,363.7,626.9,523.34,1095.43,1735.2,1056.61
BILBAO,2025,16,347.05,353.04,590.19,536.05,1242.82,1646.71,1061.05
BILBAO,2025,17,290.73,282.03,638.58,512.81,1083.83,1904.36,833.33
BILBAO,2025,18,314.29,305.11,597.21,435.44,1392.01,1855.83,858.37
BILBAO,2025,19,391.75,364.6,540.15,575.91,1388.09,1623.11,1050.89
BILBAO,2025,20,295.08,341.73,613.69,559.37,1144.37,1575.39,956.56
BILBAO,2025,21,342.77,280.5,697.05,577.43,1351.6,1911.61,932.71
BILBAO,2025,22,306.14,337.55,664.98,526.11,1177.68,1654.94,897.59
BILBAO,2025,23,296.34,292.97,661.68,495.49,1047.04,1582.2,977.25
BILBAO,2025,24,361.81,371.44,659.26,508.96,1306.33,1911.77,884.45
BILBAO,2025,25,368.48,375.92,587.63,537.39,1266.18,1671.34,1044.32
BILBAO,2025,26,300.18,325.58,565.96,522.53,1091.08,1519.49,1040.02
BILBAO,2025,27,372.97,347.83,650.42,582.45,1313.76,2013.33,1023.29
BILBAO,2025,28,368.27,345.41,582.57,569.27,1298.75,1564.9,838.42
BILBAO,2025,29,332.8,371.64,552.43,495.16,1070.42,1568.28,1103.01
BILBAO,2025,30,315.71,333.4,563.64,568.57,1269.19,1596.6,992.84
BILBAO,2025,31,310.38,313.61,539.35,434.5,1155.64,1967.31,839.47
BILBAO,2025,32,375.84,354.53,622.23,453.25,1159.26,1959.09,883.93
BILBAO,2025,33,308.84,327.22,602.79,526.83,1144.19,1559.12,870.66
BILBAO,2025,34,312.52,285.59,527.86,574.38,1294.6,1679.04,936.57
BILBAO,2025,35,362.8,288.54,642.28,558.01,1052.62,1731.72,909.78
BILBAO,2025,36,343.55,358.81,691.58,532.33,1264.1,1649.92,946.28
BILBAO,2025,37,343.66,325.56,674.14,546.73,1245.09,1837.73,964.3
BILBAO,2025,38,324.36,364.46,594.42,524.97,1200.83,1991.18,1004.75
BILBAO,2025,39,371.51,299.32,668.71,547.82,1263.76,1843.96,833.04
BILBAO,2025,40,378.41,343.47,560.1,569.27,1033.78,2048.97,854.23
BILBAO,2025,41,295.38,321.4,538.67,569.1,1083.29,1684.36,1086.37
BILBAO,2025,42,318.14,365.64,643.43,467.09,1144.16,2033.38,1033.78
BILBAO,2025,43,301.64,366.54,622.94,498.79,1186.86,1608.99,937.07
BILBAO,2025,44,340.51,366.5,531.92,509.75,1032.46,1691.63,886.2
BILBAO,2025,45,341.24,343.75,565.26,550.11,1326.22,1558.82,1049.53
BILBAO,2025,46,358.12,307.71,641.99,521.38,1056.22,2017.58,978.96
BILBAO,2025,47,294.48,290.11,654.48,480.77,1265.96,1957.74,1081.2
