company,venue,year,month,ingresos,interes,impuestos,depreciacion,amortizacion,ebitda
PALLAPIZZA,PAMPLONA,2024,1,98861.1,3299.09,8168.57,5452.54,3347.22,119128.52
PALLAPIZZA,PAMPLONA,2024,2,47545.41,1136.37,6587.27,3873.23,3816.2,62958.48
PALLAPIZZA,PAMPLONA,2024,3,77570.67,1702.72,12682.55,6003.42,2218.0,100177.36
PALLAPIZZA,PAMPLONA,2024,4,112006.47,1871.06,14070.21,4760.42,3057.52,135765.68
PALLAPIZZA,PAMPLONA,2024,5,80583.11,3358.78,5062.06,5070.32,3830.35,97904.62
PALLAPIZZA,PAMPLONA,2024,6,123100.97,2427.07,9483.86,5600.1,1587.55,142199.55000000002
PALLAPIZZA,PAMPLONA,2024,7,52702.45,2024.29,13812.77,7976.03,1304.08,77819.62
PALLAPIZZA,PAMPLONA,2024,8,90255.23,1889.78,14792.36,6521.59,3223.1,116682.06
PALLAPIZZA,PAMPLONA,2024,9,119864.59,1703.33,13771.17,7131.95,1343.1,143814.14
PALLAPIZZA,PAMPLONA,2024,10,139412.65,3457.24,14326.57,6007.33,1784.5,164988.28999999998
PALLAPIZZA,PAMPLONA,2024,11,129764.56,3097.52,7035.75,5434.56,2773.28,148105.66999999998
PALLAPIZZA,PAMPLONA,2024,12,79152.78,1444.08,11142.22,6120.12,2775.11,100634.31
PALLAPIZZA,BILBAO,2024,1,62430.44,3152.18,14382.99,5065.45,1799.81,86830.87
PALLAPIZZA,BILBAO,2024,2,142252.41,2243.74,7670.56,5843.52,1995.81,160006.03999999998
PALLAPIZZA,BILBAO,2024,3,111043.58,2207.08,13594.3,5017.04,1252.49,133114.49
PALLAPIZZA,BILBAO,2024,4,148619.35,1478.1,6872.4,7326.45,1390.15,165686.45
PALLAPIZZA,BILBAO,2024,5,88417.68,4033.39,8470.84,4502.16,2718.45,108142.51999999999
PALLAPIZZA,BILBAO,2024,6,74020.41,4554.95,9997.62,6262.6,3224.69,98060.27
PALLAPIZZA,BILBAO,2024,7,121071.24,3014.96,12880.27,5301.35,1390.43,143658.25
PALLAPIZZA,BILBAO,2024,8,116378.26,1142.39,7609.95,6057.15,2649.76,133837.51
PALLAPIZZA,BILBAO,2024,9,110037.72,4552.41,8269.51,7924.05,3586.98,134370.67
PALLAPIZZA,BILBAO,2024,10,68033.58,4110.47,6293.13,6237.69,2903.55,87578.42000000001
PALLAPIZZA,BILBAO,2024,11,143911.65,1935.87,7449.47,2091.18,1827.05,157215.21999999997
PALLAPIZZA,BILBAO,2024,12,58944.89,2556.39,14179.95,4934.0,3390.15,84005.37999999999
PALLAPIZZA,BURGOS,2024,1,140824.37,1138.93,14076.5,6802.4,2109.84,164952.03999999998
PALLAPIZZA,BURGOS,2024,2,110412.93,2913.36,14547.91,7664.36,2597.82,138136.38
PALLAPIZZA,BURGOS,2024,3,61090.42,3157.82,14440.58,7793.31,1758.77,88240.9
PALLAPIZZA,BURGOS,2024,4,40468.08,4848.09,14229.28,7604.28,1027.0,68176.73
PALLAPIZZA,BURGOS,2024,5,131364.14,1991.05,13853.61,3598.55,1214.23,152021.58
PALLAPIZZA,BURGOS,2024,6,87646.25,3204.55,8156.16,3464.14,2617.48,105088.58
PALLAPIZZA,BURGOS,2024,7,116239.92,3022.06,11098.39,2483.91,1363.7,134207.98
PALLAPIZZA,BURGOS,2024,8,51242.3,3881.56,13651.14,6342.7,2123.85,77241.55
PALLAPIZZA,BURGOS,2024,9,42665.86,3246.89,12348.04,4427.21,2614.82,65302.82
PALLAPIZZA,BURGOS,2024,10,142769.66,1220.02,7292.05,3803.01,2781.27,157866.00999999998
PALLAPIZZA,BURGOS,2024,11,124608.06,2577.38,10475.27,3074.47,3805.98,144541.16
PALLAPIZZA,BURGOS,2024,12,137735.31,3156.1,7195.06,5885.41,3167.13,157139.01
PALLAPIZZA,VITORIA,2024,1,49579.23,4168.51,11634.16,2005.35,2982.21,70369.46000000002
PALLAPIZZA,VITORIA,2024,2,102050.05,2317.83,6362.1,3691.85,1464.75,115886.58000000002
PALLAPIZZA,VITORIA,2024,3,74842.4,4063.1,12814.49,6023.06,2835.14,100578.19
PALLAPIZZA,VITORIA,2024,4,87672.44,2338.78,14242.3,3628.33,1668.42,109550.27
PALLAPIZZA,VITORIA,2024,5,140518.92,3332.24,13186.07,5994.4,2964.51,165996.14
PALLAPIZZA,VITORIA,2024,6,124055.01,4194.91,11984.45,6153.65,3777.2,150165.22
PALLAPIZZA,VITORIA,2024,7,53748.91,2901.98,12239.91,3001.32,3381.7,75273.82
PALLAPIZZA,VITORIA,2024,8,101188.89,1004.26,9323.01,4419.54,2629.78,118565.47999999998
PALLAPIZZA,VITORIA,2024,9,107352.56,1247.66,12787.58,2726.78,3484.53,127599.11
PALLAPIZZA,VITORIA,2024,10,62874.31,4710.94,9714.82,2510.19,1400.28,81210.54000000001
PALLAPIZZA,VITORIA,2024,11,110956.32,2567.4,11830.04,3760.49,2554.64,131668.89
PALLAPIZZA,VITORIA,2024,12,128339.79,1493.78,9534.8,2904.79,1869.19,144142.35
PALLAPIZZA,ZARAGOZA,2024,1,136393.76,1098.94,8494.06,3037.01,2878.95,151902.72000000003
PALLAPIZZA,ZARAGOZA,2024,2,74214.3,4437.7,5843.97,5509.5,1706.51,91711.98
PALLAPIZZA,ZARAGOZA,2024,3,40911.06,3241.95,10986.18,7836.2,1886.4,64861.78999999999
PALLAPIZZA,ZARAGOZA,2024,4,135436.03,1424.34,11519.27,5012.87,2047.48,155439.99
PALLAPIZZA,ZARAGOZA,2024,5,143338.92,2244.59,5251.08,3597.6,2656.22,157088.41
PALLAPIZZA,ZARAGOZA,2024,6,56138.06,4552.66,7561.92,4443.53,3665.49,76361.66
PALLAPIZZA,ZARAGOZA,2024,7,64351.22,1740.02,11212.57,4590.6,1098.25,82992.66
PALLAPIZZA,ZARAGOZA,2024,8,41144.17,3761.01,9211.14,7445.94,3210.56,64772.82
PALLAPIZZA,ZARAGOZA,2024,9,45844.72,2539.95,11140.94,2840.71,1821.3,64187.62
PALLAPIZZA,ZARAGOZA,2024,10,62904.12,1130.4,5998.92,5102.05,3465.7,78601.19
PALLAPIZZA,ZARAGOZA,2024,11,76569.16,3062.43,13581.57,7955.4,2396.43,103564.98999999999
PALLAPIZZA,ZARAGOZA,2024,12,59870.45,4367.85,14798.08,4462.03,2153.61,85652.01999999999
PALLAPIZZA,PAMPLONA,2025,1,95378.55,2482.43,11448.45,2606.57,2166.47,114082.47
PALLAPIZZA,PAMPLONA,2025,2,127040.4,1702.7,10862.56,3615.96,1909.06,145130.68
PALLAPIZZA,PAMPLONA,2025,3,81278.71,2381.54,14444.47,3153.06,2142.03,103399.81
PALLAPIZZA,PAMPLONA,2025,4,100684.81,3319.97,10274.01,2271.11,2848.02,119397.92
