p_company_name,p_venue_name,date,p_year,p_week_number,weekday,reservations
PALLAPIZZA,PAMPLONA,2024-01-01,2024,1,0,3
PALLAPIZZA,BILBAO,2024-01-01,2024,1,0,2
PALLAPIZZA,BURGOS,2024-01-01,2024,1,0,10
PALLAPIZZA,VITORIA,2024-01-01,2024,1,0,7
PALLAPIZZA,ZARAGOZA,2024-01-01,2024,1,0,4
PALLAPIZZA,PAMPLONA,2024-01-02,2024,1,1,5
PALLAPIZZA,BILBAO,2024-01-02,2024,1,1,7
PALLAPIZZA,BURGOS,2024-01-02,2024,1,1,10
PALLAPIZZA,VITORIA,2024-01-02,2024,1,1,1
PALLAPIZZA,ZARAGOZA,2024-01-02,2024,1,1,2
PALLAPIZZA,PAMPLONA,2024-01-03,2024,1,2,8
PALLAPIZZA,BILBAO,2024-01-03,2024,1,2,7
PALLAPIZZA,BURGOS,2024-01-03,2024,1,2,4
PALLAPIZZA,VITORIA,2024-01-03,2024,1,2,5
PALLAPIZZA,ZARAGOZA,2024-01-03,2024,1,2,9
PALLAPIZZA,PAMPLONA,2024-01-04,2024,1,3,9
PALLAPIZZA,BILBAO,2024-01-04,2024,1,3,7
PALLAPIZZA,BURGOS,2024-01-04,2024,1,3,6
PALLAPIZZA,VITORIA,2024-01-04,2024,1,3,4
PALLAPIZZA,ZARAGOZA,2024-01-04,2024,1,3,7
PALLAPIZZA,PAMPLONA,2024-01-05,2024,1,4,7
PALLAPIZZA,BILBAO,2024-01-05,2024,1,4,19
PALLAPIZZA,BURGOS,2024-01-05,2024,1,4,6
PALLAPIZZA,VITORIA,2024-01-05,2024,1,4,14
PALLAPIZZA,ZARAGOZA,2024-01-05,2024,1,4,14
PALLAPIZZA,PAMPLONA,2024-01-06,2024,1,5,15
PALLAPIZZA,BILBAO,2024-01-06,2024,1,5,15
PALLAPIZZA,BURGOS,2024-01-06,2024,1,5,2
PALLAPIZZA,VITORIA,2024-01-06,2024,1,5,10
PALLAPIZZA,ZARAGOZA,2024-01-06,2024,1,5,14
PALLAPIZZA,PAMPLONA,2024-01-07,2024,1,6,19
PALLAPIZZA,BILBAO,2024-01-07,2024,1,6,19
PALLAPIZZA,BURGOS,2024-01-07,2024,1,6,20
PALLAPIZZA,VITORIA,2024-01-07,2024,1,6,18
PALLAPIZZA,ZARAGOZA,2024-01-07,2024,1,6,7
PALLAPIZZA,PAMPLONA,2024-01-08,2024,2,0,9
PALLAPIZZA,BILBAO,2024-01-08,2024,2,0,4
PALLAPIZZA,BURGOS,2024-01-08,2024,2,0,10
PALLAPIZZA,VITORIA,2024-01-08,2024,2,0,3
PALLAPIZZA,ZARAGOZA,2024-01-08,2024,2,0,7
PALLAPIZZA,PAMPLONA,2024-01-09,2024,2,1,6
PALLAPIZZA,BILBAO,2024-01-09,2024,2,1,1
PALLAPIZZA,BURGOS,2024-01-09,2024,2,1,8
PALLAPIZZA,VITORIA,2024-01-09,2024,2,1,4
PALLAPIZZA,ZARAGOZA,2024-01-09,2024,2,1,6
PALLAPIZZA,PAMPLONA,2024-01-10,2024,2,2,4
PALLAPIZZA,BILBAO,2024-01-10,2024,2,2,0
PALLAPIZZA,BURGOS,2024-01-10,2024,2,2,4
PALLAPIZZA,VITORIA,2024-01-10,2024,2,2,0
PALLAPIZZA,ZARAGOZA,2024-01-10,2024,2,2,3
PALLAPIZZA,PAMPLONA,2024-01-11,2024,2,3,9
PALLAPIZZA,BILBAO,2024-01-11,2024,2,3,0
PALLAPIZZA,BURGOS,2024-01-11,2024,2,3,2
PALLAPIZZA,VITORIA,2024-01-11,2024,2,3,5
PALLAPIZZA,ZARAGOZA,2024-01-11,2024,2,3,9
PALLAPIZZA,PAMPLONA,2024-01-12,2024,2,4,17
PALLAPIZZA,BILBAO,2024-01-12,2024,2,4,2
PALLAPIZZA,BURGOS,2024-01-12,2024,2,4,6
PALLAPIZZA,VITORIA,2024-01-12,2024,2,4,1
PALLAPIZZA,ZARAGOZA,2024-01-12,2024,2,4,7
PALLAPIZZA,PAMPLONA,2024-01-13,2024,2,5,15
PALLAPIZZA,BILBAO,2024-01-13,2024,2,5,11
PALLAPIZZA,BURGOS,2024-01-13,2024,2,5,17
PALLAPIZZA,VITORIA,2024-01-13,2024,2,5,5
PALLAPIZZA,ZARAGOZA,2024-01-13,2024,2,5,11
PALLAPIZZA,PAMPLONA,2024-01-14,2024,2,6,13
PALLAPIZZA,BILBAO,2024-01-14,2024,2,6,17
PALLAPIZZA,BURGOS,2024-01-14,2024,2,6,9
PALLAPIZZA,VITORIA,2024-01-14,2024,2,6,11
PALLAPIZZA,ZARAGOZA,2024-01-14,2024,2,6,8
PALLAPIZZA,PAMPLONA,2024-01-15,2024,3,0,1
PALLAPIZZA,BILBAO,2024-01-15,2024,3,0,10
PALLAPIZZA,BURGOS,2024-01-15,2024,3,0,1
PALLAPIZZA,VITORIA,2024-01-15,2024,3,0,5
PALLAPIZZA,ZARAGOZA,2024-01-15,2024,3,0,5
PALLAPIZZA,PAMPLONA,2024-01-16,2024,3,1,5
PALLAPIZZA,BILBAO,2024-01-16,2024,3,1,9
PALLAPIZZA,BURGOS,2024-01-16,2024,3,1,4
PALLAPIZZA,VITORIA,2024-01-16,2024,3,1,3
PALLAPIZZA,ZARAGOZA,2024-01-16,2024,3,1,4
PALLAPIZZA,PAMPLONA,2024-01-17,2024,3,2,9
PALLAPIZZA,BILBAO,2024-01-17,2024,3,2,7
PALLAPIZZA,BURGOS,2024-01-17,2024,3,2,3
PALLAPIZZA,VITORIA,2024-01-17,2024,3,2,7
PALLAPIZZA,ZARAGOZA,2024-01-17,2024,3,2,3
PALLAPIZZA,PAMPLONA,2024-01-18,2024,3,3,5
PALLAPIZZA,BILBAO,2024-01-18,2024,3,3,4
PALLAPIZZA,BURGOS,2024-01-18,2024,3,3,8
PALLAPIZZA,VITORIA,2024-01-18,2024,3,3,6
PALLAPIZZA,ZARAGOZA,2024-01-18,2024,3,3,8
PALLAPIZZA,PAMPLONA,2024-01-19,2024,3,4,10
PALLAPIZZA,BILBAO,2024-01-19,2024,3,4,11
