p_company_name,p_venue_name,p_year,p_week_number,product,product_total_price,quantity,product_unitary_price
PALLAPIZZA,PAMPLONA,2024,1,PROD_2,134.2,10,13.42
PALLAPIZZA,BILBAO,2024,1,PROD_9,333.63,9,37.07
PALLAPIZZA,BURGOS,2024,1,PROD_2,228.14,17,13.42
PALLAPIZZA,VITORIA,2024,1,PROD_9,407.77,11,37.07
PALLAPIZZA,ZARAGOZA,2024,1,PROD_5,398.79,9,44.31
PALLAPIZZA,PAMPLONA,2024,2,PROD_9,296.56,8,37.07
PALLAPIZZA,BILBAO,2024,2,PROD_5,132.93,3,44.31
PALLAPIZZA,BURGOS,2024,2,PROD_5,664.65,15,44.31
PALLAPIZZA,VITORIA,2024,2,PROD_2,80.52,6,13.42
PALLAPIZZA,ZARAGOZA,2024,2,PROD_2,241.56,18,13.42
PALLAPIZZA,PAMPLONA,2024,3,PROD_9,185.35,5,37.07
PALLAPIZZA,BILBAO,2024,3,PROD_9,593.12,16,37.07
PALLAPIZZA,BURGOS,2024,3,PROD_3,318.92,17,18.76
PALLAPIZZA,VITORIA,2024,3,PROD_7,653.38,14,46.67
PALLAPIZZA,ZARAGOZA,2024,3,PROD_5,531.72,12,44.31
PALLAPIZZA,PAMPLONA,2024,4,PROD_9,148.28,4,37.07
PALLAPIZZA,BILBAO,2024,4,PROD_9,667.26,18,37.07
PALLAPIZZA,BURGOS,2024,4,PROD_10,85.02,6,14.17
PALLAPIZZA,VITORIA,2024,4,PROD_2,53.68,4,13.42
PALLAPIZZA,ZARAGOZA,2024,4,PROD_3,150.08,8,18.76
PALLAPIZZA,PAMPLONA,2024,5,PROD_5,797.58,18,44.31
PALLAPIZZA,BILBAO,2024,5,PROD_8,36.15,3,12.05
PALLAPIZZA,BURGOS,2024,5,PROD_3,300.16,16,18.76
PALLAPIZZA,VITORIA,2024,5,PROD_6,160.8,4,40.2
PALLAPIZZA,ZARAGOZA,2024,5,PROD_5,310.17,7,44.31
PALLAPIZZA,PAMPLONA,2024,6,PROD_6,562.8,14,40.2
PALLAPIZZA,BILBAO,2024,6,PROD_6,201.0,5,40.2
PALLAPIZZA,BURGOS,2024,6,PROD_9,37.07,1,37.07
PALLAPIZZA,VITORIA,2024,6,PROD_10,141.7,10,14.17
PALLAPIZZA,ZARAGOZA,2024,6,PROD_5,354.48,8,44.31
PALLAPIZZA,PAMPLONA,2024,7,PROD_10,269.23,19,14.17
PALLAPIZZA,BILBAO,2024,7,PROD_8,120.5,10,12.05
PALLAPIZZA,BURGOS,2024,7,PROD_1,118.72,14,8.48
PALLAPIZZA,VITORIA,2024,7,PROD_10,85.02,6,14.17
PALLAPIZZA,ZARAGOZA,2024,7,PROD_9,407.77,11,37.07
PALLAPIZZA,PAMPLONA,2024,8,PROD_2,40.26,3,13.42
PALLAPIZZA,BILBAO,2024,8,PROD_2,228.14,17,13.42
PALLAPIZZA,BURGOS,2024,8,PROD_8,204.85,17,12.05
PALLAPIZZA,VITORIA,2024,8,PROD_4,20.19,3,6.73
PALLAPIZZA,ZARAGOZA,2024,8,PROD_2,26.84,2,13.42
PALLAPIZZA,PAMPLONA,2024,9,PROD_2,214.72,16,13.42
PALLAPIZZA,BILBAO,2024,9,PROD_2,147.62,11,13.42
PALLAPIZZA,BURGOS,2024,9,PROD_7,746.72,16,46.67
PALLAPIZZA,VITORIA,2024,9,PROD_8,204.85,17,12.05
PALLAPIZZA,ZARAGOZA,2024,9,PROD_4,107.68,16,6.73
PALLAPIZZA,PAMPLONA,2024,10,PROD_1,42.4,5,8.48
PALLAPIZZA,BILBAO,2024,10,PROD_6,241.2,6,40.2
PALLAPIZZA,BURGOS,2024,10,PROD_1,8.48,1,8.48
PALLAPIZZA,VITORIA,2024,10,PROD_9,407.77,11,37.07
PALLAPIZZA,ZARAGOZA,2024,10,PROD_7,93.34,2,46.67
PALLAPIZZA,PAMPLONA,2024,11,PROD_2,120.78,9,13.42
PALLAPIZZA,BILBAO,2024,11,PROD_5,132.93,3,44.31
PALLAPIZZA,BURGOS,2024,11,PROD_7,746.72,16,46.67
PALLAPIZZA,VITORIA,2024,11,PROD_1,144.16,17,8.48
PALLAPIZZA,ZARAGOZA,2024,11,PROD_2,134.2,10,13.42
PALLAPIZZA,PAMPLONA,2024,12,PROD_3,281.4,15,18.76
PALLAPIZZA,BILBAO,2024,12,PROD_7,233.35,5,46.67
PALLAPIZZA,BURGOS,2024,12,PROD_3,18.76,1,18.76
PALLAPIZZA,VITORIA,2024,12,PROD_6,603.0,15,40.2
PALLAPIZZA,ZARAGOZA,2024,12,PROD_7,46.67,1,46.67
PALLAPIZZA,PAMPLONA,2024,13,PROD_8,72.3,6,12.05
PALLAPIZZA,BILBAO,2024,13,PROD_1,118.72,14,8.48
PALLAPIZZA,BURGOS,2024,13,PROD_9,333.63,9,37.07
PALLAPIZZA,VITORIA,2024,13,PROD_1,101.76,12,8.48
PALLAPIZZA,ZARAGOZA,2024,13,PROD_1,93.28,11,8.48
PALLAPIZZA,PAMPLONA,2024,14,PROD_1,135.68,16,8.48
PALLAPIZZA,BILBAO,2024,14,PROD_9,296.56,8,37.07
PALLAPIZZA,BURGOS,2024,14,PROD_8,228.95,19,12.05
PALLAPIZZA,VITORIA,2024,14,PROD_2,147.62,11,13.42
PALLAPIZZA,ZARAGOZA,2024,14,PROD_9,444.84,12,37.07
PALLAPIZZA,PAMPLONA,2024,15,PROD_9,444.84,12,37.07
PALLAPIZZA,BILBAO,2024,15,PROD_8,241.0,20,12.05
PALLAPIZZA,BURGOS,2024,15,PROD_2,13.42,1,13.42
PALLAPIZZA,VITORIA,2024,15,PROD_1,25.44,3,8.48
PALLAPIZZA,ZARAGOZA,2024,15,PROD_6,763.8,19,40.2
PALLAPIZZA,PAMPLONA,2024,16,PROD_5,708.96,16,44.31
PALLAPIZZA,BILBAO,2024,16,PROD_1,118.72,14,8.48
PALLAPIZZA,BURGOS,2024,16,PROD_9,667.26,18,37.07
PALLAPIZZA,VITORIA,2024,16,PROD_10,113.36,8,14.17
PALLAPIZZA,ZARAGOZA,2024,16,PROD_9,370.7,10,37.07
PALLAPIZZA,PAMPLONA,2024,17,PROD_3,150.08,8,18.76
PALLAPIZZA,BILBAO,2024,17,PROD_10,85.02,6,14.17
PALLAPIZZA,BURGOS,2024,17,PROD_1,25.44,3,8.48
PALLAPIZZA,VITORIA,2024,17,PROD_7,233.35,5,46.67
PALLAPIZZA,ZARAGOZA,2024,17,PROD_5,177.24,4,44.31
PALLAPIZZA,PAMPLONA,2024,18,PROD_2,53.68,4,13.42
PALLAPIZZA,BILBAO,2024,18,PROD_1,25.44,3,8.48
PALLAPIZZA,BURGOS,2024,18,PROD_6,603.0,15,40.2
PALLAPIZZA,VITORIA,2024,18,PROD_9,222.42,6,37.07
PALLAPIZZA,ZARAGOZA,2024,18,PROD_1,25.44,3,8.48
PALLAPIZZA,PAMPLONA,2024,19,PROD_10,127.53,9,14.17
PALLAPIZZA,BILBAO,2024,19,PROD_5,487.41,11,44.31
PALLAPIZZA,BURGOS,2024,19,PROD_7,886.73,19,46.67
PALLAPIZZA,VITORIA,2024,19,PROD_3,318.92,17,18.76
