p_company_name,p_venue_name,date,p_year,p_week_number,weekday,product_code,product_name,stock,capacity
PALLAPIZZA,PAMPLONA,2025-01-01,2025,1,2,PROD_1,Mozzarella,121,166
PALLAPIZZA,PAMPLONA,2025-01-01,2025,1,2,PROD_2,Aceitunas,97,136
PALLAPIZZA,PAMPLONA,2025-01-01,2025,1,2,PROD_3,Tomate triturado,85,183
PALLAPIZZA,PAMPLONA,2025-01-01,2025,1,2,PROD_4,Harina de trigo,67,139
PALLAPIZZA,PAMPLONA,2025-01-01,2025,1,2,PROD_5,Cerveza Mahou,72,180
PALLAPIZZA,PAMPLONA,2025-01-01,2025,1,2,PROD_6,Jamón ibérico,106,141
PALLAPIZZA,PAMPLONA,2025-01-01,2025,1,2,PROD_7,Champiñones,82,143
PALLAPIZZA,PAMPLONA,2025-01-01,2025,1,2,PROD_8,Pimientos asados,97,168
PALLAPIZZA,PAMPLONA,2025-01-01,2025,1,2,PROD_9,Aceite de oliva virgen extra,73,133
PALLAPIZZA,PAMPLONA,2025-01-01,2025,1,2,PROD_10,Anchoas,113,149
PALLAPIZZA,BILBAO,2025-01-01,2025,1,2,PROD_1,Mozzarella,114,166
PALLAPIZZA,BILBAO,2025-01-01,2025,1,2,PROD_2,Aceitunas,55,136
PALLAPIZZA,BILBAO,2025-01-01,2025,1,2,PROD_3,Tomate triturado,124,183
PALLAPIZZA,BILBAO,2025-01-01,2025,1,2,PROD_4,Harina de trigo,82,139
PALLAPIZZA,BILBAO,2025-01-01,2025,1,2,PROD_5,Cerveza Mahou,136,180
PALLAPIZZA,BILBAO,2025-01-01,2025,1,2,PROD_6,Jamón ibérico,110,141
PALLAPIZZA,BILBAO,2025-01-01,2025,1,2,PROD_7,Champiñones,104,143
PALLAPIZZA,BILBAO,2025-01-01,2025,1,2,PROD_8,Pimientos asados,120,168
PALLAPIZZA,BILBAO,2025-01-01,2025,1,2,PROD_9,Aceite de oliva virgen extra,77,133
PALLAPIZZA,BILBAO,2025-01-01,2025,1,2,PROD_10,Anchoas,66,149
PALLAPIZZA,BURGOS,2025-01-01,2025,1,2,PROD_1,Mozzarella,125,166
PALLAPIZZA,BURGOS,2025-01-01,2025,1,2,PROD_2,Aceitunas,60,136
PALLAPIZZA,BURGOS,2025-01-01,2025,1,2,PROD_3,Tomate triturado,141,183
PALLAPIZZA,BURGOS,2025-01-01,2025,1,2,PROD_4,Harina de trigo,56,139
PALLAPIZZA,BURGOS,2025-01-01,2025,1,2,PROD_5,Cerveza Mahou,98,180
PALLAPIZZA,BURGOS,2025-01-01,2025,1,2,PROD_6,Jamón ibérico,93,141
PALLAPIZZA,BURGOS,2025-01-01,2025,1,2,PROD_7,Champiñones,68,143
PALLAPIZZA,BURGOS,2025-01-01,2025,1,2,PROD_8,Pimientos asados,129,168
PALLAPIZZA,BURGOS,2025-01-01,2025,1,2,PROD_9,Aceite de oliva virgen extra,84,133
PALLAPIZZA,BURGOS,2025-01-01,2025,1,2,PROD_10,Anchoas,117,149
PALLAPIZZA,VITORIA,2025-01-01,2025,1,2,PROD_1,Mozzarella,117,166
PALLAPIZZA,VITORIA,2025-01-01,2025,1,2,PROD_2,Aceitunas,104,136
PALLAPIZZA,VITORIA,2025-01-01,2025,1,2,PROD_3,Tomate triturado,111,183
PALLAPIZZA,VITORIA,2025-01-01,2025,1,2,PROD_4,Harina de trigo,76,139
PALLAPIZZA,VITORIA,2025-01-01,2025,1,2,PROD_5,Cerveza Mahou,93,180
PALLAPIZZA,VITORIA,2025-01-01,2025,1,2,PROD_6,Jamón ibérico,87,141
PALLAPIZZA,VITORIA,2025-01-01,2025,1,2,PROD_7,Champiñones,56,143
PALLAPIZZA,VITORIA,2025-01-01,2025,1,2,PROD_8,Pimientos asados,122,168
PALLAPIZZA,VITORIA,2025-01-01,2025,1,2,PROD_9,Aceite de oliva virgen extra,98,133
PALLAPIZZA,VITORIA,2025-01-01,2025,1,2,PROD_10,Anchoas,89,149
PALLAPIZZA,ZARAGOZA,2025-01-01,2025,1,2,PROD_1,Mozzarella,129,166
PALLAPIZZA,ZARAGOZA,2025-01-01,2025,1,2,PROD_2,Aceitunas,92,136
PALLAPIZZA,ZARAGOZA,2025-01-01,2025,1,2,PROD_3,Tomate triturado,139,183
PALLAPIZZA,ZARAGOZA,2025-01-01,2025,1,2,PROD_4,Harina de trigo,75,139
PALLAPIZZA,ZARAGOZA,2025-01-01,2025,1,2,PROD_5,Cerveza Mahou,90,180
PALLAPIZZA,ZARAGOZA,2025-01-01,2025,1,2,PROD_6,Jamón ibérico,89,141
PALLAPIZZA,ZARAGOZA,2025-01-01,2025,1,2,PROD_7,Champiñones,109,143
